"Time","hestia/local/temperature.mean"
2023-03-31 17:25:00,76.5 °F
2023-03-31 17:35:00,75 °F
2023-03-31 17:40:00,76 °F
2023-03-31 18:15:00,75 °F
2023-03-31 18:25:00,74.5 °F
2023-03-31 18:35:00,75.5 °F
2023-03-31 18:45:00,74.5 °F
2023-03-31 19:00:00,75.7 °F
2023-03-31 19:05:00,75 °F
2023-03-31 19:10:00,74 °F
2023-03-31 19:15:00,75 °F
2023-03-31 19:30:00,75.5 °F
2023-03-31 19:40:00,74.3 °F
2023-03-31 19:50:00,75 °F
2023-03-31 20:15:00,75.5 °F
2023-03-31 20:20:00,76 °F
2023-03-31 20:25:00,75.3 °F
2023-03-31 20:30:00,75.7 °F
2023-04-01 07:05:00,75.5 °F
2023-04-01 07:10:00,75.4 °F
2023-04-01 12:00:00,76 °F
2023-04-01 12:05:00,75.5 °F
2023-04-01 12:10:00,75.4 °F
2023-04-01 12:15:00,75.6 °F
2023-04-01 12:20:00,75.5 °F
2023-04-01 17:00:00,76.7 °F
2023-04-01 17:15:00,76.5 °F
2023-04-01 22:50:00,76.5 °F
2023-04-01 23:00:00,76.4 °F
2023-04-02 03:25:00,75.3 °F
2023-04-02 08:05:00,74.4 °F
2023-04-02 08:10:00,74.5 °F
2023-04-02 13:50:00,75 °F
2023-04-02 17:00:00,75.5 °F
2023-04-02 17:05:00,75.7 °F
2023-04-03 07:10:00,75 °F
2023-04-03 07:20:00,74.3 °F
2023-04-03 07:25:00,75 °F
2023-04-03 07:50:00,75.5 °F
2023-04-03 08:00:00,74 °F
2023-04-03 08:05:00,74.7 °F
2023-04-03 08:50:00,75.5 °F
2023-04-03 09:00:00,74 °F
2023-04-03 09:10:00,75 °F
2023-04-03 10:15:00,75.5 °F
2023-04-03 10:25:00,74 °F
2023-04-03 10:30:00,75 °F
2023-04-03 11:10:00,75.5 °F
2023-04-03 11:20:00,74 °F
2023-04-03 11:30:00,75 °F
2023-04-03 12:15:00,76 °F
2023-04-03 12:20:00,75 °F
2023-04-03 12:25:00,74 °F
2023-04-03 12:35:00,75 °F
2023-04-03 12:45:00,75.5 °F
2023-04-03 12:55:00,74 °F
2023-04-03 13:05:00,75 °F
2023-04-03 13:20:00,75.5 °F
2023-04-03 13:30:00,74 °F
2023-04-03 13:35:00,75 °F
2023-04-03 13:55:00,76 °F
2023-04-03 14:00:00,75.3 °F
2023-04-03 14:05:00,74 °F
2023-04-03 14:10:00,75 °F
2023-04-03 14:40:00,75.7 °F
2023-04-03 14:45:00,75 °F
2023-04-03 14:55:00,74 °F
2023-04-03 15:00:00,75 °F
2023-04-03 15:10:00,76 °F
2023-04-03 15:15:00,75 °F
2023-04-03 15:25:00,74 °F
2023-04-03 15:30:00,75 °F
2023-04-03 15:40:00,75.5 °F
2023-04-03 15:50:00,74.3 °F
2023-04-03 15:55:00,75 °F
2023-04-03 16:05:00,76 °F
2023-04-03 16:10:00,75 °F
2023-04-03 16:25:00,74 °F
2023-04-03 16:30:00,75 °F
2023-04-03 16:35:00,76 °F
2023-04-03 16:40:00,75.3 °F
2023-04-03 16:50:00,74 °F
2023-04-03 16:55:00,75 °F
2023-04-03 17:05:00,76 °F
2023-04-03 17:10:00,75 °F
2023-04-03 17:20:00,74 °F
2023-04-03 17:25:00,75 °F
2023-04-03 17:35:00,76 °F
2023-04-03 17:40:00,75 °F
2023-04-03 17:50:00,74 °F
2023-04-03 17:55:00,75 °F
2023-04-03 18:05:00,76 °F
2023-04-03 18:10:00,75.3 °F
2023-04-03 18:15:00,74 °F
2023-04-03 18:20:00,75 °F
2023-04-03 18:30:00,76 °F
2023-04-03 18:35:00,75 °F
2023-04-03 18:40:00,74.5 °F
2023-04-03 18:45:00,74.5 °F
2023-04-03 19:00:00,76 °F
2023-04-03 19:05:00,75 °F
2023-04-03 19:15:00,74 °F
2023-04-03 19:20:00,75 °F
2023-04-03 19:35:00,76 °F
2023-04-03 19:40:00,75 °F
2023-04-03 19:45:00,74 °F
2023-04-03 19:50:00,75 °F
2023-04-03 20:10:00,75.5 °F
2023-04-03 20:20:00,74 °F
2023-04-03 20:25:00,75 °F
2023-04-03 20:45:00,76 °F
